shape,width_mm,depth_mm,height_mm,standoff_mm,total_depth_mm,length_mm,shadow_x_mm,shadow_y_mm,source_height_mm,declared_cut_mm,blur_mm,visible_artwork_percent,score
Cylinder,100,100,22,20,42,600,0,0,36,0.4619,1.1959,65.62,0.09374209860935526
Cylinder,80,80,30,20,50,450,0,0,44,0.5959,1.1224,83.23,0.09363384955752212
Cylinder,100,100,36,20,56,600,0,0,50,0.6415,1.1959,87.35,0.09358407079646017
Cylinder,100,100,60,20,80,800,0,0,74,0.7121,1.6612,93.44,0.09343657817109145
Rectangle,100,80,44,20,64,600,0,0,58,0.5805,1.5632,88.82,0.09309735453888089
Rectangle,80,100,36,10,46,450,0,0,40,0.535,1.1224,84.68,0.09261205938937783
Cylinder,60,60,22,30,52,450,0,0,46,0.459,1.5947,64.17,0.09255871341048331
Cylinder,80,80,22,30,52,600,0,0,46,0.4672,1.5632,64.17,0.09255871341048331
Rectangle,60,60,36,10,46,300,0,0,40,0.5824,0.9965,84.47,0.09181415929203539
Cylinder,80,80,36,0,36,300,0,0,30,0.6094,0.6816,88.08,0.0917527040314651
Cylinder,60,60,60,10,70,450,0,0,64,0.6387,1.5947,85.37,0.09146649810366625
Rectangle,60,60,60,10,70,450,0,0,64,0.6189,1.5947,85.37,0.09146649810366625
Cylinder,80,80,44,30,74,600,0,0,68,0.6907,1.5632,89.56,0.09076775890935183
Rectangle,80,80,30,20,50,450,0,0,44,0.587,1.1224,80.59,0.0906637168141593
Rectangle,80,80,44,30,74,600,0,0,68,0.6769,1.5632,88.48,0.08967651279598184
Rectangle,80,100,30,0,30,300,0,0,24,0.4826,0.6816,80.19,0.08965709139871944
Rectangle,60,80,26,10,36,300,0,0,30,0.442,0.9965,74.14,0.08918202443511088
Rectangle,80,80,36,0,36,300,0,0,30,0.5999,0.6816,85.13,0.08867994100294985
Rectangle,100,80,30,30,60,600,0,0,54,0.5415,1.5632,79.13,0.08846979866730363
Rectangle,60,80,44,20,64,450,0,0,58,0.5639,1.5947,87.17,0.08846463869548589
Rectangle,80,80,26,20,46,450,0,0,40,0.535,1.1224,72.23,0.08832122931896884
Rectangle,80,60,44,20,64,450,0,0,58,0.5639,1.5947,86.46,0.08774614416800987
Rectangle,80,100,60,10,70,600,0,0,64,0.6385,1.5632,90.75,0.08696919257620862
Rectangle,100,80,60,10,70,600,0,0,64,0.6385,1.5632,90.75,0.08696919257620862
Rectangle,80,60,30,10,40,300,0,0,34,0.4988,0.9965,80.31,0.08693783782459934
Rectangle,80,100,30,30,60,600,0,0,54,0.5415,1.5632,77.65,0.08682078098478166
Rectangle,100,80,36,30,66,600,0,0,60,0.5999,1.5632,85.13,0.08652845512288003
Cylinder,80,80,36,20,56,450,0,0,50,0.6771,1.1224,86.14,0.08652022756005058
Rectangle,60,80,44,0,44,300,0,0,38,0.5547,0.9965,87.48,0.0860887079284913
Rectangle,80,100,26,30,56,600,0,0,50,0.5023,1.5632,71.65,0.08583137037526847
Cylinder,60,60,44,30,74,450,0,0,68,0.6786,1.5947,84.22,0.08535637407318823
Rectangle,60,60,44,30,74,450,0,0,68,0.655,1.5947,84.22,0.08535637407318823
Rectangle,80,60,44,0,44,300,0,0,38,0.5547,0.9965,86.67,0.08529038067574017
Cylinder,100,100,36,10,46,450,0,0,40,0.6843,0.8469,86.14,0.08426317814544056
Cylinder,100,100,44,20,64,600,0,0,58,0.7441,1.1959,89.81,0.08419524336283185
Rectangle,60,80,30,10,40,300,0,0,34,0.4988,0.9965,77.52,0.08392016080920002
Rectangle,80,80,36,20,56,450,0,0,50,0.6641,1.1224,83.33,0.08370535714285715
Rectangle,80,100,44,10,54,450,0,0,48,0.6385,1.1224,89.45,0.08334410203746451
Rectangle,80,60,36,30,66,450,0,0,60,0.5824,1.5947,84.47,0.08312763957283252
