shape,width_mm,depth_mm,height_mm,standoff_mm,total_depth_mm,length_mm,shadow_x_mm,shadow_y_mm,source_height_mm,declared_cut_mm,blur_mm,visible_artwork_percent,score
Cylinder,80,80,44,0,44,300,0,-75.0,38,0.4278,0.9843,83.89,0.07149396811719087
Cylinder,100,100,36,30,66,600,0,-150.0,60,0.4266,1.6752,78.59,0.07144908803676576
Rectangle,100,80,44,20,64,600,0,0,58,0.7211,1.3792,68.15,0.07142948932123606
Cylinder,100,100,44,20,64,600,0,150.0,58,0.4124,1.6752,76.15,0.07138625592417062
Rectangle,80,100,60,0,60,450,0,-112.5,54,0.4002,1.5765,85.13,0.07138395328052127
Rectangle,100,80,60,0,60,450,0,-112.5,54,0.4002,1.5765,85.13,0.07138395328052127
Cylinder,80,80,36,30,66,600,0,0,60,0.7598,1.3792,62.5,0.07102272727272728
Rectangle,80,80,44,0,44,300,0,-75.0,38,0.4218,0.9843,82.94,0.070686126669539
Rectangle,60,60,22,30,52,600,0,0,46,0.4243,1.9432,36.67,0.070520415603354
Rectangle,80,80,22,30,52,800,0,0,46,0.434,1.9056,36.67,0.070520415603354
Cylinder,100,100,44,10,54,450,0,-112.5,48,0.455,1.2064,84.52,0.07043180621379674
Rectangle,80,100,60,30,90,800,0,0,84,0.7807,1.9056,70.85,0.07041435758530144
Rectangle,100,80,60,30,90,800,0,0,84,0.7807,1.9056,70.85,0.07041435758530144
Cylinder,60,60,36,20,56,300,-75.0,0,50,0.4147,1.4073,78.65,0.07022610584518167
Rectangle,100,80,30,20,50,600,0,0,44,0.5513,1.3792,52.17,0.06999634593073985
Rectangle,80,80,22,0,22,300,0,0,16,0.4029,0.5896,41.03,0.06994560534252478
Rectangle,80,100,26,30,56,800,0,0,50,0.4712,1.9056,43.76,0.06989289435425883
Rectangle,80,60,26,30,56,600,0,0,50,0.4602,1.9432,45.16,0.06984174348535216
Cylinder,80,80,22,20,42,600,0,0,36,0.4559,1.3792,39.04,0.06971479350033853
Cylinder,60,60,22,20,42,450,0,0,36,0.4479,1.4074,39.04,0.06971479350033852
Cylinder,60,60,44,20,64,450,0,0,58,0.7216,1.4074,59.42,0.06963214603080568
Rectangle,60,60,44,20,64,450,0,0,58,0.6987,1.4074,59.42,0.06963214603080568
Rectangle,80,60,36,20,56,450,0,0,50,0.6072,1.4074,59.62,0.06914699068067717
Rectangle,60,80,60,0,60,450,0,0,54,0.6533,1.4074,63.84,0.06911187130813315
Rectangle,80,60,60,0,60,450,0,0,54,0.6533,1.4074,63.84,0.06911187130813315
Cylinder,60,60,36,20,56,300,75.0,0,50,0.4147,1.4073,77.25,0.06897427217332429
Rectangle,80,80,44,10,54,450,0,0,48,0.7926,0.9844,66.21,0.06897133359662981
Rectangle,80,100,36,20,56,600,0,0,50,0.6245,1.3792,57.52,0.06890726576735874
Cylinder,60,60,44,0,44,300,0,0,38,0.7091,0.8716,60.55,0.06880116329168462
Rectangle,60,60,44,0,44,300,0,0,38,0.6874,0.8716,60.55,0.06880116329168462
Cylinder,80,80,60,0,60,450,0,112.5,54,0.4053,1.5765,73.36,0.0687759182464455
Rectangle,80,80,60,0,60,450,0,112.5,54,0.4002,1.5765,73.36,0.0687759182464455
Cylinder,60,60,30,10,40,300,0,0,34,0.6345,0.8716,55.02,0.06876974723538705
Cylinder,100,100,36,0,36,300,-75.0,0,30,0.4266,0.7376,82.46,0.06872037914691943
Cylinder,100,100,60,0,60,450,112.5,0,54,0.5119,1.2064,91.37,0.06852784360189573
Rectangle,80,100,44,20,64,600,0,0,58,0.7211,1.3792,65.3,0.0684489484744502
Cylinder,80,80,60,10,70,450,-112.5,0,64,0.4803,1.5765,85.05,0.06834482904536222
Rectangle,80,80,60,10,70,450,-112.5,0,64,0.4719,1.5765,85.05,0.06834482904536222
Rectangle,80,80,26,0,26,300,0,0,20,0.5021,0.5896,47.37,0.06832733321181188
Cylinder,80,80,60,10,70,450,112.5,0,64,0.4803,1.5765,84.95,0.06826548747461071
Rectangle,80,80,60,10,70,450,112.5,0,64,0.4719,1.5765,84.95,0.06826548747461071
Cylinder,100,100,36,0,36,300,75.0,0,30,0.4266,0.7376,81.67,0.06806213796735125
Cylinder,100,100,60,0,60,450,-112.5,0,54,0.5119,1.2064,90.68,0.06800947867298578
Cylinder,80,80,44,30,74,600,0,0,68,0.8611,1.3792,67.1,0.06800787754579224
Cylinder,60,60,36,20,56,300,0,-75.0,50,0.4147,1.4073,76.01,0.06786349018280297
Cylinder,80,80,36,30,66,450,-112.5,0,60,0.4503,1.5765,79.5,0.06775770142180094
Cylinder,100,100,60,20,80,600,150.0,0,74,0.5261,1.6752,90.34,0.06775770142180094
Cylinder,100,100,60,20,80,600,-150.0,0,74,0.5261,1.6752,90.01,0.06750592417061611
Rectangle,60,60,36,20,56,300,0,-75.0,50,0.4049,1.4073,75.36,0.0672816519972918
Rectangle,60,80,60,20,80,600,0,0,74,0.6704,1.9432,62.14,0.06727344850191617
Rectangle,80,60,60,20,80,600,0,0,74,0.6704,1.9432,62.14,0.06727344850191617
Cylinder,100,100,44,30,74,600,0,-150.0,68,0.4835,1.6752,82.96,0.06726335340079416
Rectangle,80,100,60,10,70,600,0,0,64,0.7926,1.3792,70.1,0.0671804444831098
Rectangle,100,80,60,10,70,600,0,0,64,0.7926,1.3792,70.1,0.0671804444831098
Rectangle,60,60,36,20,56,300,-75.0,0,50,0.4049,1.4073,75.18,0.06712296885578875
Cylinder,80,80,36,30,66,450,112.5,0,60,0.4503,1.5765,78.42,0.06683204976303318
Rectangle,80,100,44,20,64,450,-112.5,0,58,0.429,1.5765,84.93,0.06676721969805192
