shape,width_mm,depth_mm,height_mm,standoff_mm,total_depth_mm,length_mm,shadow_x_mm,shadow_y_mm,source_height_mm,declared_cut_mm,blur_mm,visible_artwork_percent,score
Cylinder,100,100,60,10,70,300,0,0,64,0.819,0.4251,27.88,0.011949898442789438
Rectangle,80,80,44,30,74,300,0,0,68,0.6274,0.5896,23.54,0.011928397591904703
Rectangle,80,80,36,30,66,300,0,0,60,0.5644,0.5896,20.75,0.011792241131696109
Rectangle,60,80,60,20,80,300,0,0,74,0.4954,0.8716,21.54,0.011661158613852963
Rectangle,80,60,60,20,80,300,0,0,74,0.4954,0.8716,21.54,0.011661158613852963
Cylinder,100,100,60,30,90,300,75.0,0,84,0.4778,0.7376,33.53,0.01117693522906793
Cylinder,100,100,60,20,80,300,0,75.0,74,0.4209,0.7376,29.8,0.01117446682464455
Rectangle,100,80,30,20,50,300,0,0,44,0.4277,0.5896,16.23,0.01088890922692433
Cylinder,100,100,36,20,56,300,0,0,50,0.6398,0.4251,20.04,0.010737559241706161
Cylinder,80,80,60,20,80,300,0,0,74,0.7497,0.5896,21.54,0.010098859597156399
Rectangle,80,80,60,20,80,300,0,0,74,0.6723,0.5896,21.54,0.010098859597156399
Rectangle,80,100,30,20,50,300,0,0,44,0.4277,0.5896,15.05,0.0100940983344481
Rectangle,100,80,44,30,74,300,0,0,68,0.6274,0.5896,22.12,0.010024641887087567
Rectangle,80,100,60,20,80,300,0,0,74,0.6723,0.5896,21.54,0.00903269462178714
Rectangle,100,80,60,20,80,300,0,0,74,0.6723,0.5896,21.54,0.00903269462178714
Rectangle,80,100,44,30,74,300,0,0,68,0.6274,0.5896,19.89,0.00901322712526534
Cylinder,60,60,60,30,90,300,0,0,84,0.627,0.8716,16.19,0.008995962787431982
Rectangle,60,60,60,30,90,300,0,0,84,0.5471,0.8716,16.19,0.008995962787431982
Cylinder,80,80,30,30,60,300,0,0,54,0.547,0.5896,14.06,0.008787519747235387
Cylinder,100,100,60,20,80,300,0,0,74,0.9469,0.4251,21.54,0.008079087677725118
Cylinder,100,100,60,30,90,300,0,75.0,84,0.4778,0.7376,23.7,0.007898894154818325
Cylinder,100,100,30,20,50,300,0,0,44,0.563,0.4251,13.15,0.007890995260663506
Rectangle,100,80,36,30,66,300,0,0,60,0.5644,0.5896,15.38,0.007817647540896238
Rectangle,60,80,60,30,90,300,0,0,84,0.5471,0.8716,16.19,0.007790732305415565
Rectangle,80,60,60,30,90,300,0,0,84,0.5471,0.8716,16.19,0.007790732305415565
Cylinder,100,100,44,30,74,300,0,0,68,0.8702,0.4251,19.1,0.007741449980786475
